YTDreturn,company,number,symbol
   -6.66%,EXPEDITORS INTL WASH INC,416,EXPD
   -6.73%,LAMB WESTON HOLDINGS INC,417,LW
   -6.78%,ALLIANT ENERGY CORP,418,LNT
   -6.86%,AVALONBAY COMMUNITIES INC,419,AVB
   -6.88%,SCHLUMBERGER LTD,420,SLB
   -7.07%,DEXCOM INC,421,DXCM
   -7.12%,MID AMERICA APARTMENT COMM,422,MAA
   -7.16%,AMCOR PLC,423,AMCR
   -7.34%,SKYWORKS SOLUTIONS INC,424,SWKS
   -7.39%,ADOBE INC,425,ADBE
   -7.47%,ANSYS INC,426,ANSS
   -7.48%,BOSTON PROPERTIES INC,427,BXP
   -7.60%,TERADYNE INC,428,TER
   -7.76%,BUNGE GLOBAL SA,429,BG
   -7.81%,VICI PROPERTIES INC,430,VICI
   -7.85%,ON SEMICONDUCTOR,431,ON
   -7.94%,ROBERT HALF INC,432,RHI
   -7.97%,WEC ENERGY GROUP INC,433,WEC
   -7.99%,P G + E CORP,434,PCG
   -8.03%,MICROCHIP TECHNOLOGY INC,435,MCHP
   -8.06%,INTL FLAVORS + FRAGRANCES,436,IFF
   -8.08%,TAKE TWO INTERACTIVE SOFTWRE,437,TTWO
   -8.15%,ESSEX PROPERTY TRUST INC,438,ESS
   -8.21%,KIMCO REALTY CORP,439,KIM
   -8.29%,CROWN CASTLE INC,440,CCI
   -8.30%,QUEST DIAGNOSTICS INC,441,DGX
   -8.32%,MORGAN STANLEY,442,MS
   -8.33%,PUBLIC STORAGE,443,PSA
   -8.35%,ENPHASE ENERGY INC,444,ENPH
   -8.38%,UDR INC,445,UDR
   -8.50%,LULULEMON ATHLETICA INC,446,LULU
   -8.53%,NEXTERA ENERGY INC,447,NEE
   -8.90%,REALTY INCOME CORP,448,O
   -8.95%,AKAMAI TECHNOLOGIES INC,449,AKAM
   -9.06%,FRANKLIN RESOURCES INC,450,BEN
   -9.34%,TELEFLEX INC,451,TFX
   -9.50%,ROCKWELL AUTOMATION INC,452,ROK
   -9.53%,DUPONT DE NEMOURS INC,453,DD
   -9.66%,REGENCY CENTERS CORP,454,REG
   -9.79%,STANLEY BLACK + DECKER INC,455,SWK
   -9.81%,DEERE + CO,456,DE
   -9.86%,GILEAD SCIENCES INC,457,GILD
   -10.24%,EXPEDIA GROUP INC,458,EXPE
   -10.36%,FREEPORT MCMORAN INC,459,FCX
   -10.49%,CAESARS ENTERTAINMENT INC,460,CZR
   -10.58%,AMERICAN WATER WORKS CO INC,461,AWK
   -11.00%,ALBEMARLE CORP,462,ALB
   -11.07%,ETSY INC,463,ETSY
   -11.43%,PAYCOM SOFTWARE INC,464,PAYC
   -11.46%,WHIRLPOOL CORP,465,WHR
   -11.46%,KEURIG DR PEPPER INC,466,KDP
   -11.66%,COMERICA INC,467,CMA
   -11.83%,ZIONS BANCORP NA,468,ZION
   -12.12%,KENVUE INC,469,KVUE
   -12.14%,APTIV PLC,470,APTV
   -12.31%,HEWLETT PACKARD ENTERPRISE,471,HPE
   -12.54%,EXTRA SPACE STORAGE INC,472,EXR
   -12.62%,MOSAIC CO/THE,473,MOS
   -13.05%,BAKER HUGHES CO,474,BKR
   -13.46%,BIOGEN INC,475,BIIB
   -13.53%,AMERICAN TOWER CORP,476,AMT
   -13.68%,INVESCO LTD,477,IVZ
   -13.84%,GENERAC HOLDINGS INC,478,GNRC
   -14.09%,C.H. ROBINSON WORLDWIDE INC,479,CHRW
   -14.19%,CARNIVAL CORP,480,CCL
   -14.42%,BORGWARNER INC,481,BWA
   -14.45%,VENTAS INC,482,VTR
   -14.52%,VF CORP,483,VFC
   -14.97%,INTEL CORP,484,INTC
   -15.37%,AIR PRODUCTS + CHEMICALS INC,485,APD
   -15.57%,3M CO,486,MMM
   -15.83%,APA CORP,487,APA
   -15.84%,FIRST SOLAR INC,488,FSLR
   -16.29%,FMC CORP,489,FMC
   -17.16%,WALGREENS BOOTS ALLIANCE INC,490,WBA
   -17.98%,HEALTHPEAK PROPERTIES INC,491,PEAK
   -19.62%,TESLA INC,492,TSLA
   -20.77%,HUMANA INC,493,HUM
   -21.18%,SBA COMMUNICATIONS CORP,494,SBAC
   -21.56%,AES CORP,495,AES
   -22.73%,BOEING CO/THE,496,BA
   -23.21%,INSULET CORP,497,PODD
   -23.55%,WARNER BROS DISCOVERY INC,498,WBD
   -23.94%,PARAMOUNT GLOBAL CLASS B,499,PARA
   -25.39%,CHARTER COMMUNICATIONS INC A,500,CHTR
   -26.90%,ARCHER DANIELS MIDLAND CO,501,ADM
   -26.94%,MARKETAXESS HOLDINGS INC,502,MKTX
   -27.86%,NEWMONT CORP,503,NEM
